,ID,Store,Start_of_Week,Week_Date,Fuel_Price,CPI,Unemployment,Type,Size,Week,Year,Temperature_C,Holiday_Name,Weekly_Sales
45,45,1,2010-12-11,2010-12-17,2.87,211.4053,7.837999999999999,A,151315,50,2010,10.0,No Holiday,1891034.93
46,46,1,2010-12-18,2010-12-24,2.89,211.4051,7.837999999999999,A,151315,51,2010,11.0,Christmas,2387950.1999999993
47,47,1,2010-12-25,2010-12-31,2.94,211.4049,7.837999999999999,A,151315,52,2010,9.0,Christmas,1367320.01
48,48,1,2011-01-01,2011-01-07,2.98,211.4047,7.742000000000001,A,151315,1,2011,9.0,New Year's Day,1444732.2799999998
49,49,1,2011-01-08,2011-01-14,2.98,211.4574,7.742000000000001,A,151315,2,2011,2.0,No Holiday,1391013.96
50,50,1,2011-01-15,2011-01-21,3.02,211.8272,7.742000000000001,A,151315,3,2011,7.0,No Holiday,1327405.4200000002
51,51,1,2011-01-22,2011-01-28,3.01,212.1971,7.742000000000001,A,151315,4,2011,7.0,No Holiday,1316899.31
52,52,1,2011-01-29,2011-02-04,2.99,212.5669,7.742000000000001,A,151315,5,2011,6.0,No Holiday,1606629.58
53,53,1,2011-02-05,2011-02-11,3.02,212.9367,7.742000000000001,A,151315,6,2011,2.0,No Holiday,1649614.9300000002
54,54,1,2011-02-12,2011-02-18,3.04,213.2479,7.742000000000001,A,151315,7,2011,14.0,No Holiday,1686842.7800000003
55,55,1,2011-02-19,2011-02-25,3.06,213.5356,7.742000000000001,A,151315,8,2011,17.0,No Holiday,1456800.28
56,56,1,2011-02-26,2011-03-04,3.29,213.8233,7.742000000000001,A,151315,9,2011,15.0,No Holiday,1636263.4100000008
57,57,1,2011-03-05,2011-03-11,3.46,214.1111,7.742000000000001,A,151315,10,2011,12.0,No Holiday,1553191.6300000004
58,58,1,2011-03-12,2011-03-18,3.49,214.3627,7.742000000000001,A,151315,11,2011,17.0,No Holiday,1576818.0599999998
59,59,1,2011-03-19,2011-03-25,3.47,214.5999,7.742000000000001,A,151315,12,2011,21.0,No Holiday,1541102.3800000001
60,60,1,2011-03-26,2011-04-01,3.52,214.8372,7.682,A,151315,13,2011,15.0,No Holiday,1495064.75
61,61,1,2011-04-02,2011-04-08,3.62,215.0744,7.682,A,151315,14,2011,20.0,No Holiday,1614259.35
62,62,1,2011-04-09,2011-04-15,3.74,215.2919,7.682,A,151315,15,2011,22.0,No Holiday,1559889.0000000002
63,63,1,2011-04-16,2011-04-22,3.81,215.4599,7.682,A,151315,16,2011,23.0,No Holiday,1564819.8099999998
64,64,1,2011-04-23,2011-04-29,3.81,215.628,7.682,A,151315,17,2011,22.0,No Holiday,1455090.6900000004
65,65,1,2011-04-30,2011-05-06,3.91,215.796,7.682,A,151315,18,2011,18.0,No Holiday,1629391.28
66,66,1,2011-05-07,2011-05-13,3.9,215.9641,7.682,A,151315,19,2011,24.0,No Holiday,1604775.5799999996
67,67,1,2011-05-14,2011-05-20,3.91,215.7339,7.682,A,151315,20,2011,20.0,No Holiday,1428218.27
68,68,1,2011-05-21,2011-05-27,3.79,215.5038,7.682,A,151315,21,2011,25.0,No Holiday,1466046.6699999992
69,69,1,2011-05-28,2011-06-03,3.7,215.2737,7.682,A,151315,22,2011,28.0,No Holiday,1635078.4099999995
70,70,1,2011-06-04,2011-06-10,3.65,215.0435,7.682,A,151315,23,2011,28.0,No Holiday,1588948.3199999998
71,71,1,2011-06-11,2011-06-17,3.64,214.9981,7.682,A,151315,24,2011,30.0,No Holiday,1532114.8600000006
72,72,1,2011-06-18,2011-06-24,3.59,215.0911,7.682,A,151315,25,2011,29.0,No Holiday,1438830.1500000004
73,73,1,2011-06-25,2011-07-01,3.52,215.1841,7.962000000000001,A,151315,26,2011,30.0,No Holiday,1488538.0900000005
74,74,1,2011-07-02,2011-07-08,3.48,215.2772,7.962000000000001,A,151315,27,2011,30.0,Independence Day,1534849.6399999997
75,75,1,2011-07-09,2011-07-15,3.58,215.3611,7.962000000000001,A,151315,28,2011,31.0,No Holiday,1455119.9699999997
76,76,1,2011-07-16,2011-07-22,3.65,215.4223,7.962000000000001,A,151315,29,2011,30.0,No Holiday,1396926.8200000008
77,77,1,2011-07-23,2011-07-29,3.68,215.4834,7.962000000000001,A,151315,30,2011,30.0,No Holiday,1352219.7899999998
78,78,1,2011-07-30,2011-08-05,3.68,215.5446,7.962000000000001,A,151315,31,2011,33.0,No Holiday,1624383.7500000007
79,79,1,2011-08-06,2011-08-12,3.64,215.6058,7.962000000000001,A,151315,32,2011,33.0,No Holiday,1525147.0899999999
80,80,1,2011-08-13,2011-08-19,3.55,215.6693,7.962000000000001,A,151315,33,2011,32.0,No Holiday,1530761.4300000002
81,81,1,2011-08-20,2011-08-26,3.52,215.7332,7.962000000000001,A,151315,34,2011,31.0,No Holiday,1464693.4599999997
82,82,1,2011-08-27,2011-09-02,3.53,215.7971,7.962000000000001,A,151315,35,2011,31.0,No Holiday,1550229.2200000004
83,83,1,2011-09-03,2011-09-09,3.55,215.8611,7.962000000000001,A,151315,36,2011,24.0,No Holiday,1540471.2399999998
84,84,1,2011-09-10,2011-09-16,3.53,216.0411,7.962000000000001,A,151315,37,2011,27.0,No Holiday,1514259.78
85,85,1,2011-09-17,2011-09-23,3.47,216.3758,7.962000000000001,A,151315,38,2011,24.0,No Holiday,1380020.27
86,86,1,2011-09-24,2011-09-30,3.36,216.7106,7.962000000000001,A,151315,39,2011,26.0,No Holiday,1394561.8299999998
87,87,1,2011-10-01,2011-10-07,3.28,217.0454,7.8660000000000005,A,151315,40,2011,21.0,No Holiday,1630989.95
88,88,1,2011-10-08,2011-10-14,3.27,217.3553,7.8660000000000005,A,151315,41,2011,22.0,No Holiday,1493525.9299999997
89,89,1,2011-10-15,2011-10-21,3.35,217.516,7.8660000000000005,A,151315,42,2011,18.0,No Holiday,1502562.7799999998
90,90,1,2011-10-22,2011-10-28,3.37,217.6767,7.8660000000000005,A,151315,43,2011,19.0,No Holiday,1445249.09
91,91,1,2011-10-29,2011-11-04,3.33,217.8374,7.8660000000000005,A,151315,44,2011,13.0,No Holiday,1697229.58
92,92,1,2011-11-05,2011-11-11,3.3,217.9981,7.8660000000000005,A,151315,45,2011,15.0,No Holiday,1594938.89
93,93,1,2011-11-12,2011-11-18,3.31,218.2205,7.8660000000000005,A,151315,46,2011,17.0,No Holiday,1539483.6999999997
94,94,1,2011-11-19,2011-11-25,3.24,218.4676,7.8660000000000005,A,151315,47,2011,16.0,Thanksgiving Day,2033320.6600000001
95,95,1,2011-11-26,2011-12-02,3.17,218.7147,7.8660000000000005,A,151315,48,2011,9.0,No Holiday,1584083.9499999997
96,96,1,2011-12-03,2011-12-09,3.16,218.9618,7.8660000000000005,A,151315,49,2011,7.0,No Holiday,1799682.3800000004
97,97,1,2011-12-10,2011-12-16,3.16,219.1795,7.8660000000000005,A,151315,50,2011,11.0,No Holiday,1881176.67
98,98,1,2011-12-17,2011-12-23,3.11,219.3577,7.8660000000000005,A,151315,51,2011,9.0,No Holiday,2270188.9899999998
99,99,1,2011-12-24,2011-12-30,3.13,219.536,7.8660000000000005,A,151315,52,2011,7.0,Christmas,1497462.7199999995
100,100,1,2011-12-31,2012-01-06,3.16,219.7143,7.348,A,151315,1,2012,9.0,New Year's Day,1550369.9200000002
101,101,1,2012-01-07,2012-01-13,3.26,219.8925,7.348,A,151315,2,2012,9.0,No Holiday,1459601.1700000006
102,102,1,2012-01-14,2012-01-20,3.27,219.9857,7.348,A,151315,3,2012,12.0,No Holiday,1394393.8400000003
103,103,1,2012-01-21,2012-01-27,3.29,220.0789,7.348,A,151315,4,2012,12.0,No Holiday,1319325.5899999996
104,104,1,2012-01-28,2012-02-03,3.36,220.172,7.348,A,151315,5,2012,14.0,No Holiday,1636339.6500000001
105,105,1,2012-02-04,2012-02-10,3.41,220.2652,7.348,A,151315,6,2012,9.0,No Holiday,1802477.43
106,106,1,2012-02-11,2012-02-17,3.51,220.4258,7.348,A,151315,7,2012,7.0,No Holiday,1819870.0
107,107,1,2012-02-18,2012-02-24,3.56,220.6369,7.348,A,151315,8,2012,14.0,No Holiday,1539387.8299999998
108,108,1,2012-02-25,2012-03-02,3.63,220.848,7.348,A,151315,9,2012,16.0,No Holiday,1688420.7600000002
109,109,1,2012-03-03,2012-03-09,3.67,221.0592,7.348,A,151315,10,2012,15.0,No Holiday,1675431.16
110,110,1,2012-03-10,2012-03-16,3.73,221.2118,7.348,A,151315,11,2012,18.0,No Holiday,1677472.7799999996
111,111,1,2012-03-17,2012-03-23,3.79,221.2864,7.348,A,151315,12,2012,19.0,No Holiday,1511068.0699999996
112,112,1,2012-03-24,2012-03-30,3.84,221.361,7.348,A,151315,13,2012,20.0,No Holiday,1649604.6300000004
113,113,1,2012-03-31,2012-04-06,3.89,221.4356,7.143,A,151315,14,2012,21.0,No Holiday,1899676.88
114,114,1,2012-04-07,2012-04-13,3.89,221.5102,7.143,A,151315,15,2012,21.0,No Holiday,1621031.7
115,115,1,2012-04-14,2012-04-20,3.88,221.5641,7.143,A,151315,16,2012,19.0,No Holiday,1521577.8699999999
116,116,1,2012-04-21,2012-04-27,3.81,221.6179,7.143,A,151315,17,2012,20.0,No Holiday,1468928.37
117,117,1,2012-04-28,2012-05-04,3.75,221.6718,7.143,A,151315,18,2012,24.0,No Holiday,1684519.9899999995
118,118,1,2012-05-05,2012-05-11,3.69,221.7257,7.143,A,151315,19,2012,23.0,No Holiday,1611096.0499999998
119,119,1,2012-05-12,2012-05-18,3.63,221.7427,7.143,A,151315,20,2012,21.0,No Holiday,1595901.87
120,120,1,2012-05-19,2012-05-25,3.56,221.7449,7.143,A,151315,21,2012,25.0,No Holiday,1555444.5499999998
121,121,1,2012-05-26,2012-06-01,3.5,221.7472,7.143,A,151315,22,2012,26.0,No Holiday,1624477.5800000003
122,122,1,2012-06-02,2012-06-08,3.45,221.7495,7.143,A,151315,23,2012,26.0,No Holiday,1697230.9600000004
123,123,1,2012-06-09,2012-06-15,3.39,221.7626,7.143,A,151315,24,2012,26.0,No Holiday,1630607.0
124,124,1,2012-06-16,2012-06-22,3.35,221.803,7.143,A,151315,25,2012,26.0,No Holiday,1527845.8099999998
125,125,1,2012-06-23,2012-06-29,3.29,221.8434,7.143,A,151315,26,2012,29.0,No Holiday,1540421.49
126,126,1,2012-06-30,2012-07-06,3.23,221.8838,6.9079999999999995,A,151315,27,2012,28.0,Independence Day,1769854.1600000001
127,127,1,2012-07-07,2012-07-13,3.26,221.9242,6.9079999999999995,A,151315,28,2012,25.0,No Holiday,1527014.0399999993
128,128,1,2012-07-14,2012-07-20,3.31,221.9327,6.9079999999999995,A,151315,29,2012,27.0,No Holiday,1497954.76
129,129,1,2012-07-21,2012-07-27,3.41,221.9413,6.9079999999999995,A,151315,30,2012,28.0,No Holiday,1439123.7100000002
130,130,1,2012-07-28,2012-08-03,3.42,221.9499,6.9079999999999995,A,151315,31,2012,30.0,No Holiday,1631135.7899999998
131,131,1,2012-08-04,2012-08-10,3.49,221.9584,6.9079999999999995,A,151315,32,2012,29.0,No Holiday,1592409.9699999997
132,132,1,2012-08-11,2012-08-17,3.57,222.0384,6.9079999999999995,A,151315,33,2012,29.0,No Holiday,1597868.0500000003
133,133,1,2012-08-18,2012-08-24,3.62,222.1719,6.9079999999999995,A,151315,34,2012,25.0,No Holiday,1494122.3800000006
134,134,1,2012-08-25,2012-08-31,3.64,222.3055,6.9079999999999995,A,151315,35,2012,27.0,No Holiday,1582083.4000000001
135,135,1,2012-09-01,2012-09-07,3.73,222.439,6.9079999999999995,A,151315,36,2012,29.0,No Holiday,1661767.3300000003
136,136,1,2012-09-08,2012-09-14,3.72,222.582,6.9079999999999995,A,151315,37,2012,24.0,No Holiday,1517428.8700000003
137,137,1,2012-09-15,2012-09-21,3.72,222.7818,6.9079999999999995,A,151315,38,2012,21.0,No Holiday,1506126.0600000008
138,138,1,2012-09-22,2012-09-28,3.67,222.9817,6.9079999999999995,A,151315,39,2012,24.0,No Holiday,1437059.2600000002
139,139,1,2012-09-29,2012-10-05,3.62,223.1815,6.5729999999999995,A,151315,40,2012,20.0,No Holiday,1670785.9700000004
140,140,1,2012-10-06,2012-10-12,3.6,223.3813,6.5729999999999995,A,151315,41,2012,17.0,No Holiday,1573072.8099999998
141,141,1,2012-10-13,2012-10-19,3.59,223.4257,6.5729999999999995,A,151315,42,2012,20.0,No Holiday,1508068.77
142,142,1,2012-10-20,2012-10-26,3.51,223.4443,6.5729999999999995,A,151315,43,2012,21.0,No Holiday,1493659.7399999998
143,143,2,2010-01-30,2010-02-05,2.57,210.7526,8.324,A,202307,5,2010,5.0,No Holiday,2136989.46
144,144,2,2010-02-06,2010-02-12,2.55,210.898,8.324,A,202307,6,2010,4.0,No Holiday,2137809.5000000005
145,145,2,2010-02-13,2010-02-19,2.51,210.9452,8.324,A,202307,7,2010,4.0,No Holiday,2124451.5400000005
146,146,2,2010-02-20,2010-02-26,2.56,210.976,8.324,A,202307,8,2010,8.0,No Holiday,1865097.2700000005
147,147,2,2010-02-27,2010-03-05,2.62,211.0068,8.324,A,202307,9,2010,8.0,No Holiday,1991013.13
148,148,2,2010-03-06,2010-03-12,2.67,211.0376,8.324,A,202307,10,2010,14.0,No Holiday,1990483.78
149,149,2,2010-03-13,2010-03-19,2.72,210.8733,8.324,A,202307,11,2010,13.0,No Holiday,1946070.8800000006
150,150,2,2010-03-20,2010-03-26,2.73,210.6766,8.324,A,202307,12,2010,11.0,No Holiday,1750197.8099999998
151,151,2,2010-03-27,2010-04-02,2.72,210.4799,8.2,A,202307,13,2010,17.0,No Holiday,2066187.7199999997
152,152,2,2010-04-03,2010-04-09,2.77,210.2832,8.2,A,202307,14,2010,19.0,No Holiday,1954689.2100000002
153,153,2,2010-04-10,2010-04-16,2.81,210.1495,8.2,A,202307,15,2010,20.0,No Holiday,1874957.9400000006
154,154,2,2010-04-17,2010-04-23,2.8,210.1001,8.2,A,202307,16,2010,18.0,No Holiday,1821990.93
155,155,2,2010-04-24,2010-04-30,2.78,210.0506,8.2,A,202307,17,2010,19.0,No Holiday,1802450.2899999996
156,156,2,2010-05-01,2010-05-07,2.84,210.0011,8.2,A,202307,18,2010,22.0,No Holiday,2042581.7099999997
157,157,2,2010-05-08,2010-05-14,2.85,209.9985,8.2,A,202307,19,2010,23.0,No Holiday,1880752.3600000003
158,158,2,2010-05-15,2010-05-21,2.83,210.2768,8.2,A,202307,20,2010,24.0,No Holiday,1896937.0999999996
159,159,2,2010-05-22,2010-05-28,2.76,210.5552,8.2,A,202307,21,2010,27.0,No Holiday,1957113.8900000004
160,160,2,2010-05-29,2010-06-04,2.7,210.8336,8.2,A,202307,22,2010,28.0,No Holiday,2102539.9300000006
161,161,2,2010-06-05,2010-06-11,2.67,211.112,8.2,A,202307,23,2010,29.0,No Holiday,2025538.7599999995
162,162,2,2010-06-12,2010-06-18,2.64,211.1097,8.2,A,202307,24,2010,30.0,No Holiday,2001636.9599999995
163,163,2,2010-06-19,2010-06-25,2.65,210.995,8.2,A,202307,25,2010,30.0,No Holiday,1939927.0899999996
164,164,2,2010-06-26,2010-07-02,2.67,210.8804,8.099,A,202307,26,2010,28.0,No Holiday,2003940.6400000006
165,165,2,2010-07-03,2010-07-09,2.64,210.7657,8.099,A,202307,27,2010,28.0,Independence Day,1880902.62
166,166,2,2010-07-10,2010-07-16,2.62,210.7578,8.099,A,202307,28,2010,30.0,No Holiday,1845879.79
167,167,2,2010-07-17,2010-07-23,2.61,210.8921,8.099,A,202307,29,2010,31.0,No Holiday,1781717.7100000004
168,168,2,2010-07-24,2010-07-30,2.64,211.0265,8.099,A,202307,30,2010,29.0,No Holiday,1804246.1599999997
169,169,2,2010-07-31,2010-08-06,2.63,211.1608,8.099,A,202307,31,2010,32.0,No Holiday,1991909.979999999
170,170,2,2010-08-07,2010-08-13,2.69,211.2951,8.099,A,202307,32,2010,32.0,No Holiday,1895601.0499999998
171,171,2,2010-08-14,2010-08-20,2.66,211.2597,8.099,A,202307,33,2010,32.0,No Holiday,1964335.23
172,172,2,2010-08-21,2010-08-27,2.62,211.2242,8.099,A,202307,34,2010,31.0,No Holiday,1863840.4899999995
173,173,2,2010-08-28,2010-09-03,2.58,211.1887,8.099,A,202307,35,2010,28.0,No Holiday,1904608.0899999999
174,174,2,2010-09-04,2010-09-10,2.56,211.1532,8.099,A,202307,36,2010,26.0,No Holiday,1839128.8299999994
175,175,2,2010-09-11,2010-09-17,2.58,211.1806,8.099,A,202307,37,2010,28.0,No Holiday,1793903.6000000008
176,176,2,2010-09-18,2010-09-24,2.62,211.2553,8.099,A,202307,38,2010,28.0,No Holiday,1724557.2200000002
177,177,2,2010-09-25,2010-10-01,2.6,211.3299,8.163,A,202307,39,2010,21.0,No Holiday,1827440.43
178,178,2,2010-10-02,2010-10-08,2.63,211.4045,8.163,A,202307,40,2010,17.0,No Holiday,1849921.4400000002
179,179,2,2010-10-09,2010-10-15,2.72,211.4713,8.163,A,202307,41,2010,19.0,No Holiday,1794355.4899999998
180,180,2,2010-10-16,2010-10-22,2.72,211.5187,8.163,A,202307,42,2010,20.0,No Holiday,1737947.6400000001
181,181,2,2010-10-23,2010-10-29,2.72,211.5661,8.163,A,202307,43,2010,19.0,No Holiday,1802755.1099999999
182,182,2,2010-10-30,2010-11-05,2.69,211.6135,8.163,A,202307,44,2010,14.0,No Holiday,1939061.41
183,183,2,2010-11-06,2010-11-12,2.73,211.6609,8.163,A,202307,45,2010,15.0,No Holiday,1916812.7399999998
184,184,2,2010-11-13,2010-11-19,2.77,211.547,8.163,A,202307,46,2010,10.0,No Holiday,1956739.1700000002
185,185,2,2010-11-20,2010-11-26,2.74,211.4063,8.163,A,202307,47,2010,17.0,Thanksgiving Day,2658725.29
186,186,2,2010-11-27,2010-12-03,2.71,211.2655,8.163,A,202307,48,2010,10.0,No Holiday,2015781.27
187,187,2,2010-12-04,2010-12-10,2.84,211.1248,8.163,A,202307,49,2010,8.0,No Holiday,2378726.5500000003
188,188,2,2010-12-11,2010-12-17,2.87,211.0645,8.163,A,202307,50,2010,9.0,No Holiday,2609166.749999998
189,189,2,2010-12-18,2010-12-24,2.89,211.0647,8.163,A,202307,51,2010,10.0,Christmas,3436007.6799999992
190,190,2,2010-12-25,2010-12-31,2.94,211.0648,8.163,A,202307,52,2010,8.0,Christmas,1750434.5499999989
191,191,2,2011-01-01,2011-01-07,2.98,211.0649,8.027999999999999,A,202307,1,2011,7.0,New Year's Day,1758050.7899999998
192,192,2,2011-01-08,2011-01-14,2.98,211.1177,8.027999999999999,A,202307,2,2011,1.0,No Holiday,1744193.5799999994
193,193,2,2011-01-15,2011-01-21,3.02,211.4865,8.027999999999999,A,202307,3,2011,5.0,No Holiday,1751384.9000000004
194,194,2,2011-01-22,2011-01-28,3.01,211.8553,8.027999999999999,A,202307,4,2011,6.0,No Holiday,1695371.68
195,195,2,2011-01-29,2011-02-04,2.99,212.2241,8.027999999999999,A,202307,5,2011,3.0,No Holiday,1929346.2299999997
196,196,2,2011-02-05,2011-02-11,3.02,212.5929,8.027999999999999,A,202307,6,2011,1.0,No Holiday,2168041.61
197,197,2,2011-02-12,2011-02-18,3.04,212.9033,8.027999999999999,A,202307,7,2011,14.0,No Holiday,2080884.8200000003
198,198,2,2011-02-19,2011-02-25,3.06,213.1904,8.027999999999999,A,202307,8,2011,16.0,No Holiday,1833511.0800000003
199,199,2,2011-02-26,2011-03-04,3.29,213.4775,8.027999999999999,A,202307,9,2011,14.0,No Holiday,1981607.7799999996
200,200,2,2011-03-05,2011-03-11,3.46,213.7646,8.027999999999999,A,202307,10,2011,12.0,No Holiday,1879107.3099999998
201,201,2,2011-03-12,2011-03-18,3.49,214.0156,8.027999999999999,A,202307,11,2011,17.0,No Holiday,1902557.6599999992
202,202,2,2011-03-19,2011-03-25,3.47,214.2522,8.027999999999999,A,202307,12,2011,21.0,No Holiday,1766162.0499999998
203,203,2,2011-03-26,2011-04-01,3.52,214.4887,7.931,A,202307,13,2011,13.0,No Holiday,1800171.3600000006
204,204,2,2011-04-02,2011-04-08,3.62,214.7252,7.931,A,202307,14,2011,19.0,No Holiday,1847552.61
205,205,2,2011-04-09,2011-04-15,3.74,214.9421,7.931,A,202307,15,2011,21.0,No Holiday,1856467.8399999996
206,206,2,2011-04-16,2011-04-22,3.81,215.1097,7.931,A,202307,16,2011,21.0,No Holiday,1886339.5999999999
207,207,2,2011-04-23,2011-04-29,3.81,215.2773,7.931,A,202307,17,2011,21.0,No Holiday,1745545.2800000003
208,208,2,2011-04-30,2011-05-06,3.91,215.4449,7.931,A,202307,18,2011,16.0,No Holiday,1837743.6000000013
209,209,2,2011-05-07,2011-05-13,3.9,215.6125,7.931,A,202307,19,2011,24.0,No Holiday,1838513.0699999998
210,210,2,2011-05-14,2011-05-20,3.91,215.3835,7.931,A,202307,20,2011,20.0,No Holiday,1688281.86
211,211,2,2011-05-21,2011-05-27,3.79,215.1545,7.931,A,202307,21,2011,25.0,No Holiday,1797732.5599999998
212,212,2,2011-05-28,2011-06-03,3.7,214.9255,7.931,A,202307,22,2011,28.0,No Holiday,1933756.2100000002
213,213,2,2011-06-04,2011-06-10,3.65,214.6965,7.931,A,202307,23,2011,29.0,No Holiday,1929153.1599999997
214,214,2,2011-06-11,2011-06-17,3.64,214.6514,7.931,A,202307,24,2011,30.0,No Holiday,1953771.9899999995
215,215,2,2011-06-18,2011-06-24,3.59,214.7441,7.931,A,202307,25,2011,30.0,No Holiday,1790925.7999999998
216,216,2,2011-06-25,2011-07-01,3.52,214.8369,7.852,A,202307,26,2011,30.0,No Holiday,1866242.9999999998
217,217,2,2011-07-02,2011-07-08,3.48,214.9296,7.852,A,202307,27,2011,31.0,Independence Day,1853161.9899999998
218,218,2,2011-07-09,2011-07-15,3.58,215.0134,7.852,A,202307,28,2011,32.0,No Holiday,1785187.2899999993
