Date,Store,Fuel_Price,Pred_Fuel_Pric,CPI,Pred_CPI,Temperature_C,Pred_Temp,Unemployment,Pred_Unem,Weekly_Sales,Pred_Week_Sales,Ave_Sales,Proph_Label,Model_Label_Pred,Model_Label_Real,Real_Label
2012-05-27,1,3.5,2.7113102857392364,221.7472,224.1932395666191,26.0,22.47228326671081,7.143,7.56005464702741,1624477.5800000003,1631339.6704260241,1555264.3975524479,Average,Above,Average,Average
2012-06-03,1,3.45,2.691355665753419,221.7495,224.4039327118293,26.0,22.513192099651274,7.143,7.550137836715251,1697230.9600000004,1632604.278355551,1555264.3975524479,Average,Above,Average,Average
2012-06-10,1,3.39,2.671401045767602,221.7626,224.61462585703944,26.0,22.554100932591737,7.143,7.540221026403091,1630607.0,1633868.886285078,1555264.3975524479,Average,Above,Average,Average
2012-06-17,1,3.35,2.6514464257817862,221.803,224.82531900224973,26.0,22.59500976553221,7.143,7.530304216090933,1527845.8099999996,1635133.4942146046,1555264.3975524479,Average,Above,Average,Average
2012-06-24,1,3.29,2.6314918057959686,221.8434,225.03601214745999,29.0,22.635918598472678,7.143,7.520387405778773,1540421.49,1636398.102144132,1555264.3975524479,Average,Above,Average,Average
2012-07-01,1,3.23,2.6115371858101515,221.8838,225.2467052926701,28.0,22.676827431413145,6.908,7.510470595466613,1769854.16,1637662.710073659,1555264.3975524479,Average,Above,Average,Average
2012-07-08,1,3.26,2.5915825658243343,221.9242,225.4573984378804,25.0,22.717736264353608,6.908,7.500553785154453,1527014.039999999,1638927.318003186,1555264.3975524479,Average,Above,Average,Average
2012-07-15,1,3.31,2.5716279458385176,221.9327,225.66809158309056,27.0,22.758645097294078,6.908,7.490636974842292,1497954.76,1640191.9259327129,1555264.3975524479,Average,Above,Average,Average
2012-07-22,1,3.41,2.5516733258527005,221.9413,225.87878472830081,28.0,22.799553930234552,6.908,7.480720164530133,1439123.7100000004,1641456.53386224,1555264.3975524479,Average,Above,Average,Average
2012-07-29,1,3.42,2.5317187058668837,221.9499,226.08947787351102,30.0,22.84046276317501,6.908,7.470803354217972,1631135.7899999996,1642721.141791767,1555264.3975524479,Average,Above,Average,Average
2012-08-05,1,3.49,2.5117640858810666,221.9584,226.3001710187212,29.0,22.88137159611549,6.908,7.460886543905814,1592409.9699999997,1643985.749721294,1555264.3975524479,Average,Above,Average,Average
2012-08-12,1,3.57,2.491809465895249,222.0384,226.51086416393142,29.0,22.92228042905595,6.908,7.450969733593653,1597868.0500000003,1645250.3576508209,1555264.3975524479,Average,Above,Average,Average
2012-08-19,1,3.62,2.4718548459094323,222.1719,226.7215573091416,25.0,22.963189261996423,6.908,7.441052923281496,1494122.3800000006,1646514.9655803482,1555264.3975524479,Average,Above,Average,Average
2012-08-26,1,3.64,2.451900225923616,222.3055,226.93225045435184,27.0,23.00409809493689,6.908,7.431136112969334,1582083.4,1647779.573509875,1555264.3975524479,Average,Above,Average,Average
2012-09-02,1,3.73,2.4319456059377984,222.43900000000002,227.1429435995621,29.0,23.04500692787736,6.908,7.421219302657175,1661767.3300000003,1649044.1814394018,1555264.3975524479,Average,Above,Average,Average
2012-09-09,1,3.72,2.411990985951981,222.582,227.35363674477227,24.0,23.085915760817823,6.908,7.411302492345015,1517428.8700000003,1650308.7893689286,1555264.3975524479,Average,Above,Average,Average
2012-09-16,1,3.72,2.392036365966164,222.7818,227.56432988998245,21.0,23.126824593758286,6.908,7.401385682032855,1506126.060000001,1651573.3972984557,1555264.3975524479,Average,Above,Average,Average
2012-09-23,1,3.67,2.3720817459803474,222.9817,227.77502303519267,24.0,23.16773342669876,6.908,7.391468871720695,1437059.2600000002,1652838.0052279828,1555264.3975524479,Average,Above,Average,Average
2012-09-30,1,3.62,2.3521271259945307,223.1815,227.9857161804029,20.0,23.20864225963923,6.573,7.381552061408536,1670785.9700000002,1654102.6131575096,1555264.3975524479,Average,Above,Average,Average
2012-10-07,1,3.6,2.332172506008713,223.3813,228.1964093256131,17.0,23.249551092579694,6.573,7.371635251096376,1573072.8099999996,1655367.221087037,1555264.3975524479,Average,Above,Average,Average
2012-10-14,1,3.59,2.3122178860228964,223.4257,228.40710247082333,20.0,23.290459925520164,6.573,7.361718440784216,1508068.77,1656631.8290165637,1555264.3975524479,Average,Above,Average,Average
2012-10-21,1,3.51,2.292263266037079,223.4443,228.61779561603356,21.0,23.331368758460627,6.573,7.351801630472058,1493659.7399999998,1657896.4369460903,1555264.3975524479,Average,Above,Average,Average
2012-01-08,2,3.26,3.1104026854555764,219.5328,219.61991265651463,8.0,21.617104900938006,7.057,7.2488688912620045,1744725.4799999997,1929374.5429307541,1925751.3355244757,Average,Above,Average,Average
2012-01-15,2,3.27,3.0904480654697597,219.6258,219.82994709060642,11.0,21.663203298420505,7.057,7.221744823199106,1711769.1100000003,1929235.5476391115,1925751.3355244757,Average,Above,Average,Average
2012-01-22,2,3.29,3.0704934454839425,219.7189,220.03998152469813,10.0,21.709301695903005,7.057,7.194620755136208,1660906.1399999997,1929096.5523474691,1925751.3355244757,Average,Above,Average,Average
2012-01-29,2,3.36,3.050538825498125,219.8119,220.25001595878982,13.0,21.755400093385507,7.057,7.167496687073312,1935299.94,1928957.5570558272,1925751.3355244757,Average,Above,Average,Average
2012-02-05,2,3.41,3.030584205512308,219.9049,220.46005039288158,8.0,21.801498490868006,7.057,7.140372619010415,2103322.68,1928818.5617641846,1925751.3355244757,Average,Above,Average,Average
2012-02-12,2,3.51,3.0106295855264915,220.0652,220.67008482697327,7.0,21.847596888350516,7.057,7.113248550947517,2196688.4600000014,1928679.5664725425,1925751.3355244757,Average,Above,Average,Average
2012-02-19,2,3.56,2.9906749655406744,220.2759,220.88011926106503,13.0,21.89369528583301,7.057,7.08612448288462,1861802.7,1928540.5711809003,1925751.3355244757,Average,Above,Average,Average
2012-02-26,2,3.63,2.9707203455548568,220.4867,221.09015369515683,15.0,21.93979368331551,7.057,7.059000414821723,1952555.6599999997,1928401.5758892575,1925751.3355244757,Average,Above,Average,Average
2012-03-04,2,3.67,2.95076572556904,220.6974,221.30018812924854,14.0,21.985892080798017,7.057,7.031876346758826,1937628.26,1928262.580597616,1925751.3355244757,Average,Above,Average,Average
2012-03-11,2,3.73,2.9308111055832238,220.8498,221.51022256334025,18.0,22.03199047828052,7.057,7.0047522786959275,1976082.13,1928123.5853059727,1925751.3355244757,Average,Above,Average,Average
2012-03-18,2,3.79,2.910856485597406,220.9245,221.720256997432,18.0,22.07808887576301,7.057,6.97762821063303,1790439.1599999997,1927984.590014331,1925751.3355244757,Average,Above,Average,Average
2012-03-25,2,3.84,2.890901865611589,220.9991,221.9302914315237,19.0,22.12418727324552,7.057,6.950504142570133,1857480.8399999992,1927845.5947226884,1925751.3355244757,Average,Above,Average,Average
2012-04-01,2,3.89,2.8709472456257723,221.0738,222.14032586561547,20.0,22.170285670728017,6.891,6.923380074507237,2129035.91,1927706.5994310463,1925751.3355244757,Average,Above,Average,Average
2012-04-08,2,3.89,2.8509926256399547,221.1484,222.35036029970718,20.0,22.21638406821052,6.891,6.8962560064443394,1935869.1,1927567.6041394041,1925751.3355244757,Average,Above,Average,Average
2012-04-15,2,3.88,2.8310380056541384,221.2021,222.56039473379892,19.0,22.262482465693026,6.891,6.869131938381442,1847344.4500000004,1927428.6088477613,1925751.3355244757,Average,Above,Average,Average
2012-04-22,2,3.81,2.8110833856683213,221.2558,222.77042916789063,20.0,22.30858086317552,6.891,6.842007870318544,1764133.0900000003,1927289.6135561196,1925751.3355244757,Average,Above,Average,Average
2012-04-29,2,3.75,2.791128765682504,221.3095,222.98046360198242,25.0,22.354679260658024,6.891,6.814883802255647,1923957.09,1927150.6182644768,1925751.3355244757,Average,Above,Average,Average
2012-05-06,2,3.69,2.771174145696687,221.3632,223.19049803607413,23.0,22.400777658140527,6.891,6.787759734192751,1917520.99,1927011.6229728344,1925751.3355244757,Average,Above,Average,Average
2012-05-13,2,3.63,2.7512195257108703,221.3803,223.4005324701659,22.0,22.44687605562303,6.891,6.760635666129852,2000940.6700000004,1926872.6276811925,1925751.3355244757,Average,Above,Average,Average
2012-05-20,2,3.56,2.731264905725053,221.3828,223.6105669042576,26.0,22.492974453105532,6.891,6.733511598066954,1912791.09,1926733.6323895496,1925751.3355244757,Average,Above,Average,Average
2012-05-27,2,3.5,2.7113102857392364,221.3853,223.8206013383493,26.0,22.53907285058803,6.891,6.706387530004058,1910092.3699999996,1926594.6370979082,1925751.3355244757,Average,Above,Average,Average
2012-06-03,2,3.45,2.691355665753419,221.3877,224.0306357724411,26.0,22.58517124807053,6.891,6.6792634619411615,2010216.49,1926455.6418062653,1925751.3355244757,Average,Above,Average,Average
2012-06-10,2,3.39,2.671401045767602,221.40099999999998,224.24067020653285,27.0,22.63126964555303,6.891,6.652139393878263,1962924.3,1926316.6465146232,1925751.3355244757,Average,Above,Average,Average
2012-06-17,2,3.35,2.6514464257817862,221.4412,224.45070464062454,27.0,22.677368043035532,6.891,6.625015325815366,1887733.2100000004,1926177.651222981,1925751.3355244757,Average,Above,Average,Average
2012-06-24,2,3.29,2.6314918057959686,221.4813,224.6607390747164,30.0,22.723466440518035,6.891,6.59789125775247,1881046.1200000003,1926038.6559313384,1925751.3355244757,Average,Above,Average,Average
2012-07-01,2,3.23,2.6115371858101515,221.5215,224.870773508808,29.0,22.76956483800053,6.565,6.570767189689572,2041507.4000000008,1925899.6606396958,1925751.3355244757,Average,Above,Average,Average
2012-07-08,2,3.26,2.5915825658243343,221.5617,225.08080794289975,27.0,22.81566323548304,6.565,6.5436431216266735,1830075.1300000004,1925760.6653480537,1925751.3355244757,Average,Above,Average,Average
2012-07-15,2,3.31,2.5716279458385176,221.5701,225.29084237699155,28.0,22.861761632965543,6.565,6.516519053563777,1819666.46,1925621.6700564115,1925751.3355244757,Average,Above,Average,Average
2012-07-22,2,3.41,2.5516733258527005,221.5785,225.50087681108326,30.0,22.90786003044804,6.565,6.489394985500881,1757923.88,1925482.6747647692,1925751.3355244757,Average,Above,Average,Average
2012-07-29,2,3.42,2.5317187058668837,221.58700000000002,225.71091124517497,32.0,22.95395842793054,6.565,6.462270917437983,1946104.6399999987,1925343.6794731268,1925751.3355244757,Average,Above,Average,Average
2012-08-05,2,3.49,2.5117640858810666,221.5954,225.9209456792667,31.0,23.00005682541304,6.565,6.4351468493750845,1866719.96,1925204.6841814846,1925751.3355244757,Average,Above,Average,Average
2012-08-12,2,3.57,2.491809465895249,221.6751,226.13098011335842,29.0,23.046155222895546,6.565,6.408022781312188,1928016.01,1925065.6888898418,1925751.3355244757,Average,Above,Average,Average
2012-08-19,2,3.62,2.4718548459094323,221.8084,226.3410145474502,25.0,23.09225362037804,6.565,6.380898713249293,1876788.1500000008,1924926.6935982,1925751.3355244757,Average,Above,Average,Average
2012-08-26,2,3.64,2.451900225923616,221.9416,226.5510489815419,28.0,23.138352017860544,6.565,6.353774645186394,1947083.3,1924787.6983065573,1925751.3355244757,Average,Above,Average,Average
2012-09-02,2,3.73,2.4319456059377984,222.0748,226.7610834156337,31.0,23.18445041534305,6.565,6.326650577123496,1898777.07,1924648.7030149146,1925751.3355244757,Average,Above,Average,Average
2012-09-09,2,3.72,2.411990985951981,222.2174,226.97111784972543,24.0,23.230548812825546,6.565,6.299526509060598,1814806.630000001,1924509.7077232727,1925751.3355244757,Average,Above,Average,Average
2012-09-16,2,3.72,2.392036365966164,222.4169,227.18115228381714,22.0,23.276647210308052,6.565,6.272402440997702,1829415.67,1924370.7124316304,1925751.3355244757,Average,Above,Average,Average
2012-09-23,2,3.67,2.3720817459803474,222.6164,227.39118671790885,26.0,23.32274560779055,6.565,6.245278372934806,1746470.5600000003,1924231.7171399884,1925751.3355244757,Average,Above,Average,Average
2012-09-30,2,3.62,2.3521271259945307,222.8159,227.60122115200062,21.0,23.36884400527305,6.17,6.2181543048719075,1998321.0400000003,1924092.7218483456,1925751.3355244757,Average,Above,Average,Average
2012-10-07,2,3.6,2.332172506008713,223.0154,227.81125558609241,16.0,23.414942402755557,6.17,6.191030236809009,1900745.1299999987,1923953.7265567041,1925751.3355244757,Average,Above,Average,Average
2012-10-14,2,3.59,2.3122178860228964,223.0598,228.0212900201841,20.0,23.461040800238052,6.17,6.163906168746113,1847990.4100000004,1923814.7312650613,1925751.3355244757,Average,Above,Average,Average
2012-10-21,2,3.51,2.292263266037079,223.0783,228.23132445427586,21.0,23.507139197720555,6.17,6.136782100683216,1834458.35,1923675.7359734192,1925751.3355244757,Average,Below,Average,Average
2012-01-08,3,3.26,3.1104026854555764,223.3755,223.4649912018283,11.0,23.148957896212824,6.832999999999998,7.021890223137176,367438.62,414662.8787036449,402704.441048951,Average,Above,Average,Average
2012-01-15,3,3.27,3.0904480654697597,223.4701,223.6827080810096,13.0,23.183761165990845,6.832999999999998,6.997315863321007,365818.61,415037.74479937245,402704.441048951,Average,Above,Average,Average
2012-01-22,3,3.29,3.0704934454839425,223.5646,223.90042496019086,14.0,23.21856443576885,6.832999999999998,6.972741503504838,349518.1000000001,415412.61089509993,402704.441048951,Average,Above,Average,Average
2012-01-29,3,3.36,3.050538825498125,223.6591,224.1181418393721,15.0,23.25336770554687,6.832999999999998,6.948167143688668,424960.6600000001,415787.47699082736,402704.441048951,Average,Above,Average,Average
2012-02-05,3,3.41,3.030584205512308,223.7536,224.3358587185534,11.0,23.288170975324878,6.832999999999998,6.9235927838724995,473292.47,416162.3430865549,402704.441048951,Average,Above,Above,Above
2012-02-12,3,3.51,3.0106295855264915,223.917,224.55357559773464,11.0,23.32297424510289,6.832999999999998,6.8990184240563295,475591.0800000001,416537.20918228227,402704.441048951,Average,Above,Above,Above
2012-02-19,3,3.56,2.9906749655406744,224.132,224.77129247691596,16.0,23.35777751488091,6.832999999999998,6.8744440642401585,418925.47000000026,416912.07527800987,402704.441048951,Average,Above,Average,Average
2012-02-26,3,3.63,2.9707203455548568,224.347,224.98900935609717,16.0,23.39258078465892,6.832999999999998,6.849869704423988,469752.56000000006,417286.94137373735,402704.441048951,Average,Above,Above,Above
2012-03-04,3,3.67,2.95076572556904,224.562,225.20672623527847,16.0,23.42738405443693,6.832999999999998,6.82529534460782,445162.04999999993,417661.8074694648,402704.441048951,Average,Above,Average,Average
2012-03-11,3,3.73,2.9308111055832238,224.7167,225.42444311445968,18.0,23.462187324214945,6.832999999999998,6.800720984791652,411775.79999999993,418036.67356519226,402704.441048951,Average,Above,Average,Average
2012-03-18,3,3.79,2.910856485597406,224.7909,225.642159993641,19.0,23.49699059399296,6.832999999999998,6.776146624975482,413907.25,418411.53966091975,402704.441048951,Average,Above,Average,Average
2012-03-25,3,3.84,2.890901865611589,224.8651,225.85987687282227,21.0,23.531793863770968,6.832999999999998,6.751572265159313,407488.8399999998,418786.4057566473,402704.441048951,Average,Below,Average,Average
2012-04-01,3,3.89,2.8709472456257723,224.9393,226.07759375200357,23.0,23.566597133548985,6.664,6.726997905343144,503232.13000000006,419161.2718523748,402704.441048951,Average,Below,Above,Above
2012-04-08,3,3.89,2.8509926256399547,225.0136,226.2953106311848,23.0,23.601400403327,6.664,6.702423545526974,420789.7400000001,419536.13794810226,402704.441048951,Average,Below,Average,Average
2012-04-15,3,3.88,2.8310380056541384,225.06900000000002,226.5130275103661,22.0,23.636203673105012,6.664,6.677849185710803,434822.13,419911.00404382974,402704.441048951,Average,Below,Average,Average
2012-04-22,3,3.81,2.8110833856683213,225.1244,226.7307443895473,23.0,23.671006942883025,6.664,6.653274825894635,394616.10999999975,420285.8701395573,402704.441048951,Average,Below,Average,Average
2012-04-29,3,3.75,2.791128765682504,225.1798,226.94846126872864,26.0,23.70581021266104,6.664,6.628700466078466,439913.57000000007,420660.7362352847,402704.441048951,Average,Below,Average,Average
2012-05-06,3,3.69,2.771174145696687,225.2351,227.1661781479099,24.0,23.740613482439052,6.664,6.604126106262297,431985.36,421035.60233101225,402704.441048951,Average,Below,Average,Average
2012-05-13,3,3.63,2.7512195257108703,225.2512,227.3838950270911,22.0,23.77541675221707,6.664,6.5795517464461275,418112.76000000007,421410.4684267397,402704.441048951,Average,Below,Average,Average
2012-05-20,3,3.56,2.731264905725053,225.2515,227.60161190627238,26.0,23.81022002199507,6.664,6.5549773866299565,413701.29,421785.33452246716,402704.441048951,Average,Below,Average,Average
2012-05-27,3,3.5,2.7113102857392364,225.2518,227.81932878545365,28.0,23.84502329177309,6.664,6.530403026813787,432268.53,422160.2006181947,402704.441048951,Average,Below,Average,Average
2012-06-03,3,3.45,2.691355665753419,225.2521,228.0370456646349,28.0,23.879826561551102,6.664,6.505828666997617,446336.8,422535.06671392225,402704.441048951,Average,Below,Average,Average
2012-06-10,3,3.39,2.671401045767602,225.2645,228.25476254381618,29.0,23.914629831329112,6.664,6.481254307181449,442074.7900000001,422909.9328096497,402704.441048951,Average,Below,Average,Average
2012-06-17,3,3.35,2.6514464257817862,225.3069,228.4724794229975,28.0,23.949433101107125,6.664,6.456679947365282,419497.9499999999,423284.79890537716,402704.441048951,Average,Below,Average,Average
2012-06-24,3,3.29,2.6314918057959686,225.3492,228.69019630217878,30.0,23.984236370885142,6.664,6.4321055875491115,422965.3300000001,423659.6650011047,402704.441048951,Average,Below,Average,Average
2012-07-01,3,3.23,2.6115371858101515,225.3916,228.90791318136002,28.0,24.01903964066315,6.334,6.4075312277329415,411206.50000000006,424034.5310968322,402704.441048951,Average,Below,Average,Average
2012-07-08,3,3.26,2.5915825658243343,225.43400000000003,229.12563006054125,28.0,24.05384291044117,6.334,6.382956867916772,416913.1,424409.39719255967,402704.441048951,Average,Below,Average,Average
2012-07-15,3,3.31,2.5716279458385176,225.4439,229.34334693972255,27.0,24.08864618021918,6.334,6.358382508100602,432424.8500000002,424784.2632882872,402704.441048951,Average,Below,Average,Average
2012-07-22,3,3.41,2.5516733258527005,225.4538,229.56106381890385,29.0,24.123449449997192,6.334,6.333808148284433,389427.9,425159.1293840145,402704.441048951,Average,Below,Average,Average
2012-07-29,3,3.42,2.5317187058668837,225.4636,229.7787806980851,30.0,24.15825271977521,6.334,6.309233788468263,419990.28999999975,425533.9954797421,402704.441048951,Average,Below,Average,Average
2012-08-05,3,3.49,2.5117640858810666,225.4735,229.99649757726638,30.0,24.19305598955322,6.334,6.284659428652095,391811.5999999999,425908.86157546967,402704.441048951,Average,Below,Average,Average
2012-08-12,3,3.57,2.491809465895249,225.5559,230.2142144564476,31.0,24.227859259331236,6.334,6.260085068835925,394918.83,426283.7276711972,402704.441048951,Average,Below,Average,Average
2012-08-19,3,3.62,2.4718548459094323,225.6926,230.4319313356289,28.0,24.26266252910924,6.334,6.235510709019756,412449.6700000001,426658.5937669247,402704.441048951,Average,Below,Average,Average
2012-08-26,3,3.64,2.451900225923616,225.8293,230.64964821481016,30.0,24.297465798887252,6.334,6.210936349203588,408838.73,427033.4598626522,402704.441048951,Average,Below,Average,Average
2012-09-02,3,3.73,2.4319456059377984,225.96599999999998,230.86736509399142,29.0,24.33226906866527,6.334,6.186361989387418,408229.73,427408.3259583796,402704.441048951,Average,Below,Average,Average
2012-09-09,3,3.72,2.411990985951981,226.1122,231.0850819731727,26.0,24.367072338443283,6.334,6.161787629571247,407589.1600000001,427783.1920541071,402704.441048951,Average,Below,Average,Average
2012-09-16,3,3.72,2.392036365966164,226.3151,231.30279885235402,23.0,24.401875608221296,6.334,6.137213269755079,414392.09,428158.05814983463,402704.441048951,Average,Below,Average,Average
2012-09-23,3,3.67,2.3720817459803474,226.5181,231.52051573153526,25.0,24.43667887799931,6.334,6.11263890993891,389813.0200000001,428532.9242455621,402704.441048951,Average,Below,Average,Average
2012-09-30,3,3.62,2.3521271259945307,226.72099999999998,231.73823261071647,23.0,24.471482147777323,6.034,6.08806455012274,443557.65,428907.7903412896,402704.441048951,Average,Below,Average,Average
2012-10-07,3,3.6,2.332172506008713,226.924,231.9559494898978,21.0,24.50628541755533,6.034,6.0634901903065686,410804.38999999984,429282.6564370171,402704.441048951,Average,Below,Average,Average
2012-10-14,3,3.59,2.3122178860228964,226.9688,232.1736663690791,23.0,24.54108868733335,6.034,6.038915830490401,424513.08,429657.5225327445,402704.441048951,Average,Below,Average,Average
2012-10-21,3,3.51,2.292263266037079,226.9874,232.39138324826038,24.0,24.57589195711136,6.034,6.014341470674232,405432.6999999999,430032.3886284721,402704.441048951,Average,Below,Average,Average
2012-01-08,4,3.26,3.1098711131639747,130.244,130.16496291658513,1.0,16.14346600253775,4.607,4.890629043541112,1941676.61,2281683.473814549,2094712.9606993007,Average,Below,Above,Average
2012-01-15,4,3.27,3.0905628543788675,130.2792,130.20611585414576,6.0,16.14974975785502,4.607,4.857948935454067,2005097.76,2285845.2214784967,2094712.9606993007,Average,Below,Average,Average
2012-01-22,4,3.29,3.07125459559376,130.3145,130.24726879170635,5.0,16.156033513172286,4.607,4.8252688273670215,1928720.51,2290006.9691424454,2094712.9606993007,Average,Below,Average,Average
2012-01-29,4,3.35,3.0519463368086535,130.3497,130.28842172926696,5.0,16.162317268489552,4.607,4.792588719279976,2173373.91,2294168.716806394,2094712.9606993007,Average,Below,Average,Average
2012-02-05,4,3.41,3.0326380780235462,130.3849,130.32957466682757,1.0,16.168601023806822,4.607,4.759908611192931,2374660.639999999,2298330.4644703423,2094712.9606993007,Average,Below,Above,Average
2012-02-12,4,3.49,3.013329819238438,130.4546,130.37072760438818,1.0,16.174884779124092,4.607,4.727228503105887,2427640.1700000004,2302492.2121342905,2094712.9606993007,Average,Below,Above,Above
2012-02-19,4,3.54,2.994021560453332,130.5502,130.4118805419488,5.0,16.18116853444136,4.607,4.694548395018843,2226662.1700000013,2306653.9597982387,2094712.9606993007,Average,Below,Average,Average
2012-02-26,4,3.62,2.974713301668224,130.6458,130.4530334795094,10.0,16.187452289758625,4.607,4.6618682869317976,2206319.9,2310815.707462187,2094712.9606993007,Average,Average,Average,Average
2012-03-04,4,3.67,2.9554050428831165,130.7414,130.49418641706998,12.0,16.19373604507589,4.607,4.629188178844753,2202450.810000001,2314977.455126136,2094712.9606993007,Average,Average,Average,Average
2012-03-11,4,3.71,2.936096784098009,130.8262,130.53533935463062,15.0,16.20001980039316,4.607,4.596508070757708,2214967.44,2319139.2027900843,2094712.9606993007,Average,Average,Average,Average
2012-03-18,4,3.76,2.9167885253129016,130.8966,130.57649229219123,15.0,16.206303555710427,4.607,4.563827962670664,2091592.54,2323300.9504540325,2094712.9606993007,Average,Average,Average,Average
2012-03-25,4,3.82,2.8974802665277952,130.9671,130.61764522975182,23.0,16.212587311027693,4.607,4.53114785458362,2089381.77,2327462.6981179807,2094712.9606993007,Average,Average,Average,Average
2012-04-01,4,3.86,2.8781720077426867,131.0375,130.65879816731243,20.0,16.218871066344963,4.308,4.498467746496575,2470206.13,2331624.445781929,2094712.9606993007,Average,Average,Above,Above
2012-04-08,4,3.88,2.8588637489575803,131.108,130.6999511048731,20.0,16.22515482166223,4.308,4.465787638409531,2105301.39,2335786.1934458767,2094712.9606993007,Average,Average,Above,Average
2012-04-15,4,3.86,2.8395554901724727,131.1173,130.74110404243365,20.0,16.231438576979492,4.308,4.433107530322486,2144336.89,2339947.941109826,2094712.9606993007,Average,Average,Above,Average
2012-04-22,4,3.81,2.820247231387365,131.1267,130.78225697999426,25.0,16.237722332296762,4.308,4.400427422235441,2064065.66,2344109.688773774,2094712.9606993007,Average,Average,Average,Average
2012-04-29,4,3.75,2.800938972602258,131.136,130.82340991755493,27.0,16.24400608761403,4.308,4.367747314148397,2196968.33,2348271.4364377223,2094712.9606993007,Average,Average,Average,Average
2012-05-06,4,3.68,2.7816307138171505,131.1453,130.86456285511548,20.0,16.250289842931302,4.308,4.335067206061352,2127661.17,2352433.1841016705,2094712.9606993007,Average,Average,Average,Average
