,user_id,product_id,product_name,model_rating
9,89,22025,YoBaby Blueberry Apple Yogurt,3.69957344
0,90,4945,Large Pineapple Chunks,5
1,90,16589,Plantain Chips,5
2,90,4472,Toasted Coconut Almondmilk Blend,5
3,90,36127,Freshly Squeezed Orange Juice,5
4,90,39409,"Ginger Root Beer, Naturally Flavored Zero Calorie Soda, Caffeine Free",5
5,90,41131,India Pale Ale,5
6,90,20082,Organic Whole Milk with DHA Omega-3,5
7,90,10761,Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes,5
8,90,49235,Organic Half & Half,5
9,90,29615,"Bread, Country Buttermilk",5
0,91,6532,Organic YoKids Very Berry Smoothies,4.303576184
1,91,43394,Organic Lactose Free Whole Milk,4.020089684
2,91,12606,100% Natural Spring Water,3.980122737
3,91,13176,Bag of Organic Bananas,3.930182061
4,91,18362,Organic Bread with 21 Whole Grains,3.893206389
5,91,1463,Organic Milk,3.853059875
6,91,27086,Half & Half,3.614988781
7,91,3389,Diet Dr.Pepper Soda Pack,3.474753693
8,91,44177,Large Grade A Eggs,3.447582393
9,91,19731,Organic Orange Juice With Calcium & Vitamin D,3.381030986
0,96,24852,Banana,4.545232437
1,96,25466,Water,4.164373542
2,96,20082,Organic Whole Milk with DHA Omega-3,3.94832659
3,96,14084,Organic Unsweetened Vanilla Almond Milk,3.649652672
4,96,42445,Organic Plain Whole Milk Yogurt,3.615660504
5,96,14702,Maple Honey Ham,3.577809269
6,96,44980,The Original Multi Grain Bread,3.401702993
7,96,49235,Organic Half & Half,3.393526401
8,96,2210,Large Brown Grade AA Eggs,3.357554065
9,96,48370,Sensitive Toilet Paper,3.269903205
0,99,20082,Organic Whole Milk with DHA Omega-3,3.40225797
1,99,13176,Bag of Organic Bananas,3.398331451
2,99,15424,Purified Water,3.373215225
3,99,30024,Cage Free Grade AA Large White Eggs,3.322314837
4,99,3896,Organic Honey Sweet Whole Wheat Bread,3.167330871
5,99,13646,Lemon Hummus,3.140591826
6,99,11576,Corn Chips,3.129884405
7,99,6347,Unsweetened Almond Milk,3.066259531
8,99,46932,All Natural Coconut Water,3.049787171
9,99,4962,Yotoddler Organic Pear Spinach Mango Yogurt,3.034364173
0,101,35914,Dha Omega 3 Reduced Fat 2% Milk,3.900108844
1,101,14947,Pure Sparkling Water,3.511778749
2,101,32655,Organic Large Grade AA Brown Eggs,3.483799718
3,101,40852,Lactose Free Fat Free Milk,3.373190773
4,101,21137,Organic Strawberries,3.312649159
5,101,41131,India Pale Ale,3.282780357
6,101,18362,Organic Bread with 21 Whole Grains,3.231090309
7,101,38768,Sweet Kale Salad Mix,3.214532201
8,101,26047,Tuna Salad,3.170865324
9,101,21903,Organic Baby Spinach,3.163303272
0,103,14947,Pure Sparkling Water,3.287810925
1,103,29118,French Vanilla Soy Creamer,3.219495841
2,103,43631,Diet Coke,3.198061307
3,103,24852,Banana,3.160672074
4,103,44177,Large Grade A Eggs,3.130191912
5,103,13806,1% Milkfat Low Fat Vitamin A & D Milk,3.10791629
6,103,5077,100% Whole Wheat Bread,2.975594694
7,103,19875,Organic Yogurt Original Plain,2.959590894
8,103,45036,Organic Half Tea & Half Lemonade,2.88307578
9,103,30440,Chocolate Crepes,2.872703905
0,110,8571,Baby Cucumbers,3.781487098
1,110,10473,Half And Half Cream,3.675205398
2,110,14947,Pure Sparkling Water,3.623407751
3,110,39180,Organic Lowfat 1% Milk,3.62207142
4,110,37710,Trail Mix,3.560459493
5,110,24852,Banana,3.495057822
6,110,43209,Large Eggs,3.463495505
7,110,29615,"Bread, Country Buttermilk",3.377291367
8,110,38544,Organic Whole Milk Strawberry Beet Berry Yogurt Pouch,3.244394106
9,110,45763,Mini Seedless Cucumbers,3.218619335
0,112,13176,Bag of Organic Bananas,4.256603298
1,112,15424,Purified Water,3.872858833
2,112,39180,Organic Lowfat 1% Milk,3.607565924
3,112,29615,"Bread, Country Buttermilk",3.480623715
4,112,44177,Large Grade A Eggs,3.459022481
5,112,35842,Organic Lemon Cayenne Sparkling Probiotic Drink,3.150263101
6,112,17469,Lo-Carb Energy Drink,3.102807812
7,112,12341,Hass Avocados,3.080394895
8,112,19875,Organic Yogurt Original Plain,3.062347198
9,112,46149,Zero Calorie Cola,3.033973323
0,118,38689,Organic Reduced Fat Milk,4.724839766
1,118,13176,Bag of Organic Bananas,3.924360968
2,118,22124,Total 0% Raspberry Yogurt,3.826830674
3,118,38768,Sweet Kale Salad Mix,3.708055259
4,118,14947,Pure Sparkling Water,3.684277896
5,118,27695,Natural Chicken & Sage Breakfast Sausage,3.683126121
6,118,30776,Organic Raw Kombucha Gingerade,3.633936134
7,118,36036,Organic Orange Fruit Juice,3.574968597
8,118,11520,Large Alfresco Eggs,3.564074128
9,118,2855,Organic Good Seed Bread,3.521765844
0,122,38928,0% Greek Strained Yogurt,4.184024294
1,122,31808,Lemon-Lime 12 Pack Soda,3.855900063
2,122,1402,Plain Soymilk Creamer,3.584514654
3,122,4451,Organic Skim Milk with DHA Omega-3,3.549981668
4,122,13176,Bag of Organic Bananas,3.258935253
5,122,33120,Organic Egg Whites,3.242078076
6,122,3957,100% Raw Coconut Water,3.144635203
7,122,10851,Natural Alpine Spring Water,3.021913679
8,122,6184,Clementines,2.922183299
9,122,27695,Natural Chicken & Sage Breakfast Sausage,2.913147865
0,127,24852,Banana,3.762016057
1,127,19677,Original Pure Creamy Almond Milk,3.637351399
2,127,20082,Organic Whole Milk with DHA Omega-3,3.550643429
3,127,44177,Large Grade A Eggs,3.435270382
4,127,19660,Spring Water,3.175034484
5,127,30949,Organic YoKids Smoothie Strawberry Banana Lowfat Yogurt,3.148594663
6,127,31231,Vitamin Water Zero Rise Orange,3.033228809
7,127,3896,Organic Honey Sweet Whole Wheat Bread,3.023846422
8,127,46061,Popcorn,2.992320992
9,127,10957,Fridge Pack Cola,2.95439882
0,132,27845,Organic Whole Milk,4.305233402
1,132,24852,Banana,3.978275922
2,132,49235,Organic Half & Half,3.541552968
3,132,42445,Organic Plain Whole Milk Yogurt,3.514881604
4,132,14702,Maple Honey Ham,3.430821623
5,132,42450,Macaroni & Cheese,3.376522352
6,132,48857,Authentic French Brioche,3.258781892
7,132,25804,Original Soy Milk,3.202025583
8,132,39947,Blackberry Cucumber Sparkling Water,3.161138548
9,132,44799,Fresh CA Grown Eggs,3.147689245
0,133,35951,Organic Unsweetened Almond Milk,3.849844363
1,133,4210,Whole Milk,3.839038109
2,133,49235,Organic Half & Half,3.733085027
3,133,43643,Organic Strawana Probugs Kefir,3.689126081
4,133,41131,India Pale Ale,3.475381951
5,133,6774,Brown Fertile Large Grade AA Eggs,3.395779867
6,133,17924,Seltzer Water,3.383896328
7,133,1069,100% Oatnut Bread,3.224921183
8,133,21038,Organic Spelt Tortillas,3.218248812
9,133,21903,Organic Baby Spinach,3.149125257
0,138,10473,Half And Half Cream,4.275551529
1,138,23909,2% Reduced Fat Milk,4.131776964
2,138,5479,Italian Sparkling Mineral Water,3.61389482
3,138,6347,Unsweetened Almond Milk,3.613737959
4,138,11712,Cage Free Large White Eggs,3.535656144
5,138,38768,Sweet Kale Salad Mix,3.340282933
6,138,21267,Sourdough Bread,3.31877959
7,138,13541,100% Whole Wheat Bagels,3.286981728
8,138,10957,Fridge Pack Cola,3.245724221
9,138,36036,Organic Orange Fruit Juice,3.221704434
0,140,1511,2% Reduced Fat DHA Omega-3 Reduced Fat Milk,5
1,140,13176,Bag of Organic Bananas,5
2,140,11520,Large Alfresco Eggs,4.707195556
3,140,1069,100% Oatnut Bread,4.615962392
4,140,4793,Wild Berry Smoothie,4.469427148
5,140,21903,Organic Baby Spinach,4.285774273
6,140,12384,Organic Lactose Free 1% Lowfat Milk,4.274231581
7,140,49609,Very Berry Flavor Sparking Mineral Water,4.167150856
8,140,30776,Organic Raw Kombucha Gingerade,4.128130289
9,140,30827,Seedless Cucumbers,4.036078446
0,142,32566,Dha Omega 3 Vitamin D Milk,5
1,142,35951,Organic Unsweetened Almond Milk,5
2,142,13176,Bag of Organic Bananas,4.961512682
3,142,7521,New Orleans Iced Coffee,4.796110631
4,142,25133,Organic String Cheese,4.718129606
5,142,48857,Authentic French Brioche,4.472108244
6,142,27966,Organic Raspberries,4.362963552
7,142,1069,100% Oatnut Bread,4.357044465
8,142,19875,Organic Yogurt Original Plain,4.32498188
9,142,41131,India Pale Ale,4.284541329
0,146,3957,100% Raw Coconut Water,4.602211104
1,146,10032,Cola Soft Drink,4.517805366
2,146,35951,Organic Unsweetened Almond Milk,4.416165082
3,146,19348,Fat Free Milk,4.329613977
4,146,41131,India Pale Ale,4.274862672
5,146,44008,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,4.273090902
6,146,44632,Sparkling Water Grapefruit,4.272382662
7,146,24852,Banana,4.119258159
8,146,10753,Peanut Butter Bar,4.117536776
9,146,38768,Sweet Kale Salad Mix,4.057592681
0,150,4210,Whole Milk,4.000824171
1,150,14999,Grade A Large Brown Eggs,3.941951045
2,150,21903,Organic Baby Spinach,3.73438481
3,150,6631,No Pulp Calcium & Vitamin D Pure Orange Juice,3.664217865
4,150,47144,Unsweetened Original Almond Breeze Almond Milk,3.659315248
5,150,10132,Organic American Cheese Singles,3.643124146
6,150,20574,Roasted Turkey,3.63924159
7,150,43643,Organic Strawana Probugs Kefir,3.579756618
8,150,14947,Pure Sparkling Water,3.501235084
9,150,28058,Gluten Free Sliced Mountain White Bread,3.40842273
0,152,5479,Italian Sparkling Mineral Water,5
1,152,20940,Organic Low Fat Milk,5
2,152,5161,Dried Mango,5
3,152,432,Vanilla Almond Breeze Almond Milk,4.827848014
4,152,45064,Honey Wheat Bread,4.724258787
5,152,43279,Non-Fat Greek Yogurt With Strawberries on the Bottom,4.487835142
6,152,14218,Grade A Large Eggs Cage Free Omega 3,4.464651143
7,152,37158,Chicken & Maple Breakfast Sausage,4.371954566
8,152,10473,Half And Half Cream,4.365537619
9,152,38768,Sweet Kale Salad Mix,4.328813294
0,153,32403,Fat Free Skim Milk,4.386486667
1,153,21137,Organic Strawberries,4.231777348
2,153,12384,Organic Lactose Free 1% Lowfat Milk,4.164372838
3,153,49235,Organic Half & Half,4.126773347
4,153,8859,Natural Spring Water,4.074594994
5,153,21903,Organic Baby Spinach,3.866029647
6,153,32655,Organic Large Grade AA Brown Eggs,3.705182703
7,153,32211,Whole Grains Oatnut Bread,3.455665839
8,153,41276,Energy Drink,3.373746771
9,153,20682,Cinnamon Raisin Swirl Pre-Sliced Bagels,3.371472051
0,154,35914,Dha Omega 3 Reduced Fat 2% Milk,4.412398547
1,154,27086,Half & Half,4.315158171
2,154,10761,Organic Yokids Lemonade/Blueberry Variety Pack Yogurt Squeezers Tubes,4.231290185
3,154,45190,Vodka,4.209324127
4,154,37646,Organic Gala Apples,4.171302883
5,154,14702,Maple Honey Ham,4.164340678
6,154,5479,Italian Sparkling Mineral Water,4.154451087
7,154,29118,French Vanilla Soy Creamer,4.123801533
8,154,45603,Trilogy Kombucha Drink,4.112763708
9,154,43631,Diet Coke,4.102657075
0,155,20082,Organic Whole Milk with DHA Omega-3,4.842765058
1,155,2120,Sauvignon Blanc,4.832864216
2,155,9411,Unsweetened Iced Coffee,4.573445498
3,155,30233,Organic Large Brown Grade AA Cage Free Eggs,4.566678792
4,155,43643,Organic Strawana Probugs Kefir,4.554771093
5,155,43394,Organic Lactose Free Whole Milk,4.291859329
6,155,24852,Banana,4.268958098
7,155,25146,Original Orange Juice,4.143533724
8,155,29615,"Bread, Country Buttermilk",4.067766676
9,155,31808,Lemon-Lime 12 Pack Soda,4.057933786
0,161,13176,Bag of Organic Bananas,3.924030737
1,161,29447,"Milk, Organic, Vitamin D",3.759156527
2,161,196,Soda,3.464853349
3,161,1402,Plain Soymilk Creamer,3.447352783
4,161,11422,Plain Greek Yogurt,3.35007348
5,161,49235,Organic Half & Half,3.268541411
6,161,43154,Sparkling Mineral Water,3.248445619
7,161,27966,Organic Raspberries,3.171348763
8,161,35921,Organic Large Grade A Brown Eggs,3.118258251
9,161,45190,Vodka,3.096696562
0,168,4210,Whole Milk,3.479744363
1,168,14947,Pure Sparkling Water,3.256118851
2,168,6347,Unsweetened Almond Milk,3.234677194
3,168,48186,Lactose Free Half & Half,3.139273563
4,168,44177,Large Grade A Eggs,3.119571911
5,168,42813,Smoked Maple Ham,2.971544492
6,168,18362,Organic Bread with 21 Whole Grains,2.936782398
7,168,47611,M&M's Vanilla Lowfat Yogurt,2.8924006
8,168,21903,Organic Baby Spinach,2.844690032
9,168,26209,Limes,2.804223071
0,173,14947,Pure Sparkling Water,4.175127697
1,173,4210,Whole Milk,4.110107019
2,173,21903,Organic Baby Spinach,3.721064496
3,173,24852,Banana,3.575220931
4,173,35951,Organic Unsweetened Almond Milk,3.525591165
5,173,44799,Fresh CA Grown Eggs,3.292690005
6,173,117,Petit Suisse Fruit,3.137528765
7,173,20842,Total 0% Greek Yogurt,3.082016916
8,173,49683,Cucumber Kirby,3.063266817
9,173,1069,100% Oatnut Bread,3.004267552
0,174,29447,"Milk, Organic, Vitamin D",3.982223708
1,174,43631,Diet Coke,3.54150096
2,174,27086,Half & Half,3.509056192
3,174,19660,Spring Water,3.273177702
4,174,44177,Large Grade A Eggs,3.235646725
5,174,22959,Reduced Fat Milk 100% Lactose Free,3.133801861
6,174,47611,M&M's Vanilla Lowfat Yogurt,3.085546084
7,174,11576,Corn Chips,3.072572658
8,174,4462,Pink Lady Apple Kombucha,3.049386862
9,174,13176,Bag of Organic Bananas,2.939214801
0,175,44177,Large Grade A Eggs,3.13064177
1,175,39180,Organic Lowfat 1% Milk,2.955750754
2,175,13176,Bag of Organic Bananas,2.876966317
3,175,22610,Reduced Fat 2% Lactose-Free Milk,2.790401008
4,175,10473,Half And Half Cream,2.773296989
5,175,8859,Natural Spring Water,2.766837355
6,175,27726,Lemon Seltzer Water,2.72140495
7,175,27237,Butter Top Wheat Bread,2.713425019
8,175,19875,Organic Yogurt Original Plain,2.661006612
9,175,4289,15 Calories Light Lemonade,2.648991937
0,182,3957,100% Raw Coconut Water,4.573465398
1,182,15424,Purified Water,4.219374505
2,182,20899,Goo Berry Pie Probugs Kefir,4.046065219
3,182,27845,Organic Whole Milk,4.00616578
4,182,39276,Bananas,3.951833146
5,182,49610,100% Lactose Free Fat Free Milk,3.910492161
6,182,49235,Organic Half & Half,3.782379662
7,182,30233,Organic Large Brown Grade AA Cage Free Eggs,3.762943143
8,182,31651,Extra Fancy Unsalted Mixed Nuts,3.61939817
9,182,43631,Diet Coke,3.481554447
0,187,27325,Alpine Spring Water,4.604947628
1,187,23909,2% Reduced Fat Milk,4.215350233
2,187,3957,100% Raw Coconut Water,4.204845642
3,187,11520,Large Alfresco Eggs,3.68994424
4,187,37718,Blueberry Whole Milk Yogurt Pouch,3.479088911
5,187,39276,Bananas,3.334556915
6,187,13560,A+ Cinnamon Sweet Potato Pancakes,3.29884203
7,187,46149,Zero Calorie Cola,3.272664192
8,187,1402,Plain Soymilk Creamer,3.243438152
9,187,8898,Little Bites Chocolate Chip Muffins,3.089937339
0,190,24852,Banana,3.772403685
1,190,1463,Organic Milk,3.491453208
2,190,43154,Sparkling Mineral Water,3.356083259
3,190,49198,Zero Soda,3.339205709
4,190,37710,Trail Mix,3.254011418
5,190,38444,Chardonnay,3.222789138
